,rankings_blue_top,rankings_blue_jungle,rankings_blue_mid,rankings_blue_adc,rankings_blue_support,rankings_red_top,rankings_red_jungle,rankings_red_mid,rankings_red_adc,rankings_red_support,champ_winrate_blue_top,champ_winrate_blue_jungle,champ_winrate_blue_mid,champ_winrate_blue_adc,champ_winrate_blue_support,champ_winrate_red_top,champ_winrate_red_jungle,champ_winrate_red_mid,champ_winrate_red_adc,champ_winrate_red_support,champ_total_games_blue_top,champ_total_games_blue_jungle,champ_total_games_blue_mid,champ_total_games_blue_adc,champ_total_games_blue_support,champ_total_games_red_top,champ_total_games_red_jungle,champ_total_games_red_mid,champ_total_games_red_adc,champ_total_games_red_support,result
0,460,460,460,480,480,480,460,520,480,480,0.33,0.17,0.0,0.52,0.0,0.62,0.6,0.8,0.7,0.45,9,6,1,206,1,13,42,5,10,20,0
1,520,520,520,520,520,520,480,520,480,480,1.0,0.4,0.6,0.5,0.64,0.29,0.0,0.57,0.5,0.5,2,10,94,8,14,34,3,7,10,12,1
2,460,520,520,480,480,480,520,520,520,520,0.63,0.56,0.42,0.5,0.5,0.6,0.61,0.43,0.53,0.45,19,190,43,10,12,10,85,7,53,20,0
3,480,480,520,460,520,520,480,520,480,480,0.57,0.6,0.64,0.46,0.29,0.6,0.62,0.56,0.5,0.4,282,78,67,13,7,444,125,45,2,5,0
4,520,520,460,480,480,480,520,520,440,560,0.44,0.25,0.75,0.5,0.5,0.37,0.56,0.25,0.49,0.67,131,8,4,10,12,76,9,8,49,6,0
5,520,440,560,520,520,480,520,520,480,480,0.55,0.56,0.71,0.44,0.53,0.58,0.38,0.21,0.67,0.5,520,9,21,25,650,101,16,14,3,4,1
6,480,520,520,480,480,440,520,540,520,480,0.25,0.5,0.61,0.4,0.4,0.6,0.39,0.5,0.52,0.6,4,6,74,5,5,35,28,16,103,53,0
7,440,540,520,480,480,480,480,520,520,460,0.58,0.54,0.3,0.4,0.57,1.0,0.5,0.56,0.76,0.68,139,26,23,5,7,1,6,61,29,38,0
8,460,540,540,480,480,520,520,520,520,520,0.64,0.5,0.58,0.67,0.5,0.53,0.63,0.53,0.5,0.33,14,18,19,3,4,187,16,193,8,3,0
9,520,520,520,480,480,460,520,460,480,520,0.61,0.57,0.42,0.6,0.57,0.33,0.5,0.5,0.0,0.33,64,14,55,10,7,6,16,36,1,6,0
10,480,520,540,480,480,520,520,520,520,460,0.52,0.54,0.5,0.67,0.5,0.57,0.56,0.6,0.75,0.55,27,54,12,3,4,189,161,368,12,58,0
11,520,480,520,480,480,520,520,520,520,520,0.5,0.7,0.62,0.6,1.0,0.51,0.56,0.58,0.22,0.57,6,10,93,10,3,106,110,97,9,128,0
12,520,520,520,480,480,540,520,520,520,520,0.56,0.56,0.5,0.6,0.57,0.73,0.69,0.59,0.58,0.52,9,161,26,10,7,26,35,34,12,201,0
13,460,520,520,480,520,480,480,480,480,460,0.52,0.0,0.46,0.0,0.2,0.59,0.52,0.52,0.6,0.57,46,2,13,2,5,118,85,60,10,7,0
14,520,440,480,520,520,520,480,460,520,520,0.29,0.59,0.6,0.43,0.5,0.57,0.0,0.5,0.52,0.56,7,27,10,134,2,368,1,2,166,279,1
15,480,480,480,480,480,480,480,480,520,480,0.5,0.0,0.0,0.62,0.56,0.89,0.62,0.5,0.43,0.58,2,1,1,21,63,9,37,2,35,97,0
16,480,460,460,480,520,480,460,460,460,520,0.33,0.54,0.57,0.33,0.56,0.64,0.72,0.5,0.55,0.29,3,175,202,9,25,129,18,2,29,7,0
17,520,480,460,520,520,460,520,480,520,480,0.41,0.46,0.5,0.27,0.61,1.0,0.47,1.0,1.0,0.5,34,13,6,15,33,1,15,2,3,12,0
18,520,480,480,520,520,480,480,460,520,520,0.55,0.59,0.49,0.48,0.51,0.0,0.5,0.6,0.5,0.32,69,87,67,44,463,1,4,5,2,19,1
19,480,460,520,480,480,460,520,540,480,480,0.6,0.35,0.67,0.25,0.67,0.5,0.5,0.0,0.4,0.5,5,43,3,8,18,2,4,3,5,6,1
20,480,480,520,480,520,520,480,480,480,480,0.5,0.44,0.5,0.5,0.54,0.57,0.29,0.5,0.6,0.0,28,18,4,68,70,263,7,6,10,4,1
21,480,480,480,520,460,480,480,540,420,520,0.67,0.67,0.49,1.0,0.5,0.5,0.0,0.59,0.49,0.5,9,3,57,1,10,2,1,68,75,2,1
22,520,520,520,480,480,520,520,480,520,520,0.0,0.33,0.4,0.78,0.5,0.64,0.72,0.67,0.51,0.5,3,6,15,9,4,42,43,3,146,38,0
23,460,460,520,540,460,480,560,480,520,440,0.0,0.43,0.47,0.64,0.0,0.5,0.61,0.6,0.63,0.73,1,30,55,11,1,2,38,5,8,37,0
24,460,480,480,520,460,460,520,460,480,520,0.5,0.58,0.6,0.5,0.54,0.57,0.54,0.0,0.52,0.64,2,38,5,66,26,70,48,2,190,28,0
25,480,480,480,520,520,520,520,520,460,520,0.63,1.0,0.6,0.71,0.88,0.39,0.42,0.64,0.8,0.4,8,1,5,21,8,13,24,58,5,15,0
26,520,520,480,480,480,520,440,480,480,480,0.58,0.43,0.56,0.5,0.5,0.6,0.64,0.59,0.62,0.33,19,30,59,2,4,45,14,51,26,6,0
27,480,540,520,520,520,520,540,480,520,520,0.79,0.61,0.55,0.6,0.57,0.56,0.58,0.65,0.29,0.33,19,18,42,35,21,225,101,140,7,6,1
28,540,460,480,520,520,480,520,520,540,520,0.39,0.14,0.5,0.52,0.48,0.65,0.55,0.56,0.5,0.5,31,7,34,111,92,140,242,225,24,6,0
29,520,520,480,520,480,520,520,520,520,520,0.56,0.53,0.65,0.8,0.49,0.32,0.55,0.6,0.48,0.52,225,17,140,5,37,28,44,149,25,71,0
30,520,440,480,520,540,560,440,520,540,440,0.56,0.5,0.43,0.44,0.6,0.52,0.2,0.55,0.25,0.45,225,4,7,81,50,62,5,106,4,20,0
31,520,460,520,480,520,480,480,520,520,520,0.6,0.75,0.47,0.65,0.4,0.48,0.44,0.33,0.47,0.48,10,8,38,31,107,29,9,9,17,132,1
32,420,480,540,520,480,520,540,480,460,460,0.5,0.0,0.42,0.2,0.44,0.66,0.63,0.58,0.83,0.72,10,1,36,5,34,85,8,72,12,39,0
33,460,520,480,460,540,520,520,480,520,520,0.6,0.59,0.6,0.51,0.42,0.5,0.33,0.5,0.23,0.56,20,100,229,41,19,12,3,6,13,86,1
34,520,520,480,520,520,520,520,520,520,480,0.59,0.4,0.65,0.0,0.67,0.57,0.57,0.75,0.53,0.71,118,15,63,1,3,324,63,4,15,14,0
35,480,520,520,520,520,520,480,480,520,480,0.48,0.68,0.1,0.4,0.67,0.56,0.48,0.43,0.52,1.0,64,25,10,5,3,225,52,7,98,1,1
36,520,520,520,480,520,520,520,460,520,420,0.33,0.57,0.56,0.47,0.61,0.69,0.46,0.48,0.67,0.62,3,46,225,38,36,39,33,21,9,13,0
37,560,560,520,480,460,520,480,460,460,560,0.67,0.71,0.62,0.4,0.61,0.56,0.35,0.5,0.4,0.65,6,24,220,5,33,225,17,8,15,17,1
38,520,520,520,480,460,520,520,480,480,520,0.38,0.5,0.56,0.0,0.0,0.56,0.54,0.58,0.67,0.59,8,8,88,2,2,225,448,76,39,177,0
39,520,540,480,560,460,540,540,560,540,520,0.0,0.47,0.56,0.58,0.62,0.55,0.54,0.57,0.75,0.83,1,34,50,106,13,124,79,283,4,6,0
40,540,540,540,480,560,520,540,460,520,540,0.55,0.61,0.61,0.65,0.71,0.69,0.4,1.0,0.67,0.56,132,38,57,26,14,39,25,3,9,54,0
41,540,540,540,560,520,520,540,460,520,460,0.66,0.0,0.59,0.49,0.51,0.69,0.67,1.0,0.54,0.5,56,2,161,33,139,39,3,3,35,6,0
42,540,480,520,520,520,520,520,460,540,520,0.55,0.3,0.49,0.25,0.33,0.69,0.38,1.0,0.52,0.52,125,10,47,20,3,39,60,3,137,25,0
43,440,480,380,480,380,360,420,460,460,420,1.0,0.95,0.92,0.78,0.67,0.5,0.57,0.0,0.0,0.27,1,19,12,27,3,2,7,2,2,11,1
44,460,540,480,480,460,520,520,520,540,520,0.6,0.5,0.33,0.8,0.62,0.0,0.4,0.33,0.47,0.54,5,24,3,5,13,1,5,3,97,195,0
45,420,380,380,420,460,460,0,460,420,480,0.71,0.8,0.75,0.5,0.62,0.64,0.5,1.0,0.46,0.6,14,5,4,52,13,33,8,2,13,80,0
46,380,380,380,360,0,420,420,420,420,460,0.0,0.0,0.47,0.63,0.0,1.0,0.5,1.0,0.5,0.62,1,2,15,8,2,1,2,5,52,13,0
47,520,480,520,480,420,540,520,480,480,480,0.69,0.56,0.46,0.0,0.62,0.61,0.54,0.47,0.5,0.57,39,50,24,1,13,23,26,15,2,28,0
48,420,420,420,480,420,420,360,380,0,0,0.0,0.0,0.0,0.5,0.0,0.59,1.0,0.7,1.0,0.67,1,1,3,10,2,39,1,10,2,6,0
49,480,460,480,520,420,420,480,480,520,540,0.69,0.63,0.52,0.6,0.62,0.72,0.78,0.7,0.5,1.0,39,16,31,15,13,60,18,10,8,1,0
50,520,460,460,520,520,480,520,480,520,420,0.57,0.5,0.58,0.5,0.5,0.69,0.53,0.5,0.56,0.62,142,4,26,6,2,39,17,4,45,13,0
51,460,520,540,520,460,480,540,0,460,420,0.75,0.54,0.47,0.42,0.33,0.69,0.33,1.0,0.58,0.62,8,70,15,19,3,39,6,2,69,13,0
52,380,440,460,0,0,460,420,420,460,380,0.56,0.45,0.54,0.43,0.5,0.69,0.63,0.78,0.5,1.0,18,29,13,7,10,39,8,18,2,1,0
53,460,440,0,460,380,460,480,480,420,420,0.69,0.45,0.43,0.58,0.62,0.45,0.5,0.61,0.39,0.36,39,29,7,69,13,20,2,38,13,14,0
54,460,0,480,480,380,420,0,440,480,460,0.69,1.0,0.54,0.5,0.62,0.58,0.45,0.2,0.27,0.5,39,6,243,2,13,12,20,10,11,6,0
55,360,320,360,360,0,320,0,360,0,0,0.55,0.62,1.0,0.46,0.5,0.43,0.4,0.33,0.0,0.0,40,66,1,11,2,14,5,3,1,1,0
56,360,320,380,320,360,380,320,320,380,340,0.47,1.0,1.0,0.5,0.41,0.5,0.55,0.0,0.57,0.0,15,1,5,2,17,4,20,2,62,3,1
57,420,340,420,340,420,340,320,360,420,320,0.56,0.53,0.6,0.49,0.54,0.49,0.62,0.83,0.73,0.45,25,17,5,86,157,33,66,6,15,29,0
58,380,320,340,380,420,440,380,340,360,440,0.33,0.62,0.38,0.65,0.54,0.33,0.46,0.5,0.5,0.67,3,66,16,20,336,9,26,6,8,129,0
59,280,340,380,360,0,0,320,380,360,360,0.33,0.38,0.4,0.5,0.67,0.71,0.62,0.75,0.4,1.0,3,8,10,4,3,7,66,4,5,1,0
60,420,340,360,360,360,380,320,380,360,360,0.42,0.0,0.54,0.53,0.53,0.33,0.62,0.5,0.56,0.75,26,2,111,147,79,3,66,4,45,12,0
61,340,360,360,380,260,360,320,360,380,280,0.64,0.6,0.63,0.57,1.0,0.5,0.54,0.75,0.75,0.36,205,5,46,7,1,2,24,4,4,11,1
62,620,580,580,640,580,580,580,560,560,580,1.0,0.62,0.83,0.47,0.54,0.5,0.5,0.33,0.5,0.17,1,141,6,43,82,2,12,3,8,6,1
63,560,560,620,620,580,580,580,520,580,560,0.5,0.0,0.27,0.46,0.53,0.58,0.67,0.63,1.0,0.53,4,1,11,13,117,316,6,38,1,369,0
64,560,580,620,580,580,560,620,580,580,580,0.57,0.52,0.52,0.71,0.3,1.0,0.52,0.43,0.56,0.5,28,229,23,14,10,1,23,7,9,2,0
65,560,560,560,560,460,560,580,480,480,560,0.0,0.5,0.63,0.17,0.68,0.5,0.58,0.61,0.86,0.55,1,103,32,6,60,2,316,38,7,47,0
66,0,460,460,560,0,560,420,0,460,420,0.0,0.63,0.0,0.0,0.5,0.72,0.57,0.5,0.76,0.67,1,40,2,1,2,36,7,4,41,9,0
67,580,640,640,580,560,520,620,580,640,560,0.62,0.66,0.63,0.33,0.42,0.59,0.56,0.29,0.0,0.5,314,116,16,6,12,39,591,7,1,2,1
68,520,420,580,520,620,0,540,560,440,520,0.56,0.5,0.67,0.67,0.58,1.0,0.5,1.0,0.4,0.5,16,2,6,3,59,1,2,1,10,2,0
69,560,580,540,520,580,520,580,560,0,560,0.5,0.35,0.6,0.5,0.63,0.6,0.59,0.59,1.0,1.0,4,23,121,8,32,52,44,49,1,1,0
70,540,520,580,560,560,480,480,520,560,540,0.2,0.63,0.0,0.0,0.57,0.73,0.55,0.5,0.48,0.42,5,8,1,1,51,30,11,4,96,26,0
71,520,560,480,540,560,560,560,540,540,540,0.72,0.57,1.0,0.5,0.6,0.0,0.0,0.5,0.31,0.51,36,7,1,22,138,1,1,26,16,111,0
72,520,540,520,480,420,520,540,480,520,540,0.41,0.5,0.49,0.67,0.5,1.0,0.57,0.7,0.54,0.67,51,2,37,9,4,1,173,10,48,6,0
73,540,480,540,540,480,520,520,480,520,520,1.0,0.67,0.5,0.58,0.53,0.54,0.71,0.7,0.5,0.5,2,3,26,111,51,132,7,10,8,2,1
74,420,540,520,540,520,0,460,540,520,480,0.72,0.57,1.0,0.54,0.6,0.25,0.33,0.45,0.33,0.0,60,241,1,52,62,4,3,20,3,1,1
75,560,460,520,520,520,480,520,480,520,520,0.5,0.0,0.58,0.52,0.6,0.7,0.61,0.78,0.5,0.59,8,2,363,95,10,10,92,9,8,82,0
76,480,560,560,620,560,560,560,560,480,620,0.62,0.57,0.46,0.61,0.6,0.42,0.5,0.4,0.5,0.61,52,68,11,66,201,19,2,10,8,93,1
77,560,420,560,540,0,440,520,460,480,580,0.0,0.22,0.48,0.46,0.0,0.71,1.0,0.75,0.5,0.48,1,9,58,22,2,31,3,8,8,52,0
78,620,580,580,620,560,0,620,580,620,620,0.51,0.5,0.42,0.53,0.25,0.75,0.56,0.62,0.62,0.54,43,14,12,130,8,16,591,66,140,193,0
79,620,540,560,560,560,560,620,560,560,540,0.44,0.51,0.38,0.58,0.54,0.5,0.42,0.5,0.6,1.0,23,114,8,173,13,32,19,2,5,2,0
80,580,580,620,580,580,580,460,580,560,560,1.0,0.69,1.0,0.5,0.5,0.57,0.25,0.54,0.0,0.55,2,71,1,2,2,209,4,785,1,11,1
81,560,560,540,520,560,520,480,560,460,480,0.5,0.64,0.75,0.75,0.69,0.61,0.75,0.68,0.67,0.46,32,61,4,4,13,77,8,19,3,11,1
82,460,520,420,460,520,540,420,420,0,540,0.9,0.73,0.59,1.0,1.0,0.75,0.6,0.0,0.5,0.0,10,41,17,8,1,8,10,2,2,2,0
83,580,580,560,520,580,520,580,480,460,580,0.89,1.0,0.71,0.61,0.4,0.6,0.6,0.33,0.75,0.68,9,6,7,46,10,10,284,3,4,62,1
84,520,560,460,580,540,520,580,460,660,640,1.0,0.64,0.5,0.5,0.63,0.81,0.5,0.25,0.57,0.0,3,61,2,2,16,21,4,4,44,1,1
85,540,0,480,480,580,520,520,460,460,560,0.43,0.33,0.0,0.25,0.55,1.0,0.71,0.7,0.71,0.5,7,3,2,4,262,5,7,10,42,10,0
86,560,560,560,580,520,520,580,480,520,680,1.0,0.43,0.5,0.5,0.5,0.71,0.61,0.25,0.73,0.52,5,7,4,4,2,14,44,4,41,29,1
87,580,700,460,660,660,660,560,640,560,620,0.73,0.57,0.25,0.5,0.72,0.46,0.6,0.46,0.0,0.51,11,594,4,12,36,11,48,26,1,55,0
88,520,580,640,520,480,580,560,560,460,660,0.83,1.0,0.71,0.7,0.56,0.33,0.62,0.52,0.75,0.54,6,2,51,10,9,3,21,25,4,288,1
89,480,580,560,580,580,580,580,540,460,580,0.5,0.5,0.48,0.58,0.5,0.6,0.57,0.69,0.83,0.47,4,2,21,404,2,5,105,36,6,51,0
90,480,560,480,480,0,560,520,560,460,520,0.6,0.6,0.56,0.67,0.56,0.49,0.43,0.48,0.0,0.43,5,10,9,9,18,165,7,46,1,40,1
91,620,580,0,580,580,620,580,620,460,580,0.62,0.45,0.0,0.42,0.5,0.53,0.61,0.6,1.0,0.5,53,42,1,12,26,296,94,393,8,10,0
92,480,460,0,480,520,560,480,480,420,520,0.0,0.6,0.0,0.67,0.0,0.56,0.57,1.0,1.0,0.75,1,5,1,3,1,79,7,1,8,4,0
93,480,520,560,420,560,540,560,460,540,560,0.81,0.53,0.58,0.83,0.55,0.29,0.0,0.74,0.51,0.4,21,15,73,6,299,7,4,27,41,5,0
94,560,480,420,580,520,520,580,420,520,420,0.25,0.69,0.85,0.61,0.64,0.62,0.71,0.75,0.82,1.0,4,16,13,33,22,52,31,4,17,1,0
95,420,520,520,540,480,480,560,540,420,540,0.69,0.75,0.56,0.25,0.71,0.0,0.67,0.0,0.83,0.62,13,12,39,4,14,1,6,1,6,13,1
96,520,0,560,480,480,560,420,520,380,520,0.66,0.8,0.67,0.5,0.0,0.8,0.57,0.4,1.0,0.5,35,5,3,4,1,71,7,5,8,2,0
97,480,560,520,380,540,540,620,560,540,540,1.0,0.55,0.57,0.75,0.5,0.28,0.25,0.4,0.59,0.67,2,38,7,4,4,18,4,40,201,3,0
98,460,380,380,380,460,0,380,380,0,520,0.63,0.46,0.71,0.0,0.71,0.88,0.8,1.0,0.56,0.58,46,44,7,1,49,17,5,10,45,150,0
99,0,420,380,380,540,560,420,0,560,480,0.57,0.78,1.0,1.0,0.85,0.57,0.48,0.0,0.41,0.63,14,23,2,1,13,7,42,1,17,24,0
100,460,0,460,420,0,460,420,420,360,460,0.0,0.0,0.4,0.69,0.5,1.0,0.66,0.72,1.0,0.45,2,1,5,32,4,1,65,18,8,38,0
101,520,520,360,460,440,480,440,560,360,480,0.46,0.65,0.5,0.73,0.0,0.56,0.73,0.6,0.75,0.67,13,17,2,26,4,18,11,25,4,46,0
102,380,480,360,0,440,0,380,0,0,420,0.65,0.86,1.0,0.75,0.67,0.6,0.2,0.43,0.8,0.0,17,22,1,4,3,5,5,7,10,1,0
103,380,380,440,420,480,360,0,420,0,0,0.36,0.7,0.14,0.29,0.54,0.65,1.0,0.5,1.0,0.5,11,20,7,7,366,17,7,2,8,16,0
104,340,380,420,0,0,0,420,360,380,360,0.5,0.33,0.5,0.0,0.0,0.5,0.69,0.5,0.67,0.69,2,3,2,1,1,2,32,2,9,16,0
105,520,520,520,460,520,480,480,520,520,540,0.64,0.57,0.63,0.75,0.88,0.43,0.6,0.33,0.33,0.5,25,37,217,4,8,7,78,6,3,42,1
106,520,520,520,480,520,520,480,520,520,480,0.76,0.43,0.56,0.74,0.25,0.46,0.6,0.6,0.44,0.6,21,7,50,216,4,70,78,5,18,90,1
107,480,480,520,520,480,520,480,520,520,520,0.4,0.6,0.47,0.73,0.6,0.71,0.56,0.67,0.51,0.32,20,78,17,22,90,7,73,3,80,28,0
108,480,440,520,540,440,420,520,520,560,440,0.33,0.63,0.65,0.63,1.0,0.54,0.46,0.25,0.5,0.5,3,116,112,16,2,35,11,8,20,2,1
109,480,460,520,540,420,420,520,480,480,480,0.56,0.55,0.5,0.64,0.61,0.5,0.86,0.4,0.6,0.4,79,338,2,11,36,2,14,5,97,15,0
110,540,440,420,460,520,420,540,460,440,480,0.61,0.8,0.52,0.32,0.0,0.64,0.86,0.67,0.5,0.56,248,5,75,19,2,11,14,3,2,107,0
111,520,460,460,460,480,420,520,420,480,520,0.43,0.63,0.36,0.58,0.66,0.44,0.33,0.36,0.5,0.29,7,41,14,261,35,9,9,11,28,7,1
112,520,520,520,440,540,420,520,520,520,520,0.53,0.42,0.63,0.64,0.64,0.36,0.33,0.43,0.33,0.57,17,26,8,67,58,11,9,21,9,7,1
113,460,540,560,460,560,520,540,560,520,460,0.5,0.86,0.67,0.59,0.56,0.68,0.51,0.65,0.67,0.54,2,14,99,265,64,59,43,72,3,84,0
114,460,560,520,560,440,520,540,520,520,520,0.5,0.74,0.67,0.63,1.0,0.45,0.33,0.67,0.52,0.25,2,19,6,8,2,60,9,6,29,4,1
115,540,540,520,520,520,480,520,520,520,520,0.4,0.33,0.53,0.76,0.62,0.67,0.49,0.64,0.67,0.36,5,9,19,25,13,6,35,164,12,33,0
116,540,540,520,520,540,540,540,540,540,540,0.67,0.61,0.56,0.52,0.5,0.71,0.5,0.62,1.0,0.5,18,66,18,453,6,7,8,13,5,10,0
117,520,540,480,520,520,520,520,520,540,520,0.63,0.86,0.6,0.56,0.56,0.46,0.25,0.58,0.64,0.49,16,14,88,54,18,13,8,12,164,198,0
118,540,540,480,520,520,520,540,480,540,480,0.25,0.33,0.25,0.48,0.53,0.6,0.57,0.52,0.61,0.63,4,3,12,25,135,72,14,371,31,138,0
119,480,440,540,520,0,540,440,540,480,460,0.67,0.5,1.0,0.53,1.0,0.6,0.64,0.64,0.67,0.0,3,10,1,47,1,47,14,11,12,3,1
120,540,440,480,420,540,540,480,540,520,520,0.46,0.64,0.38,0.33,0.2,0.58,0.56,0.65,0.67,0.6,11,14,21,6,15,104,16,17,3,10,0
121,540,440,520,480,540,520,520,520,480,520,0.6,0.64,0.55,0.6,0.64,0.43,0.5,0.43,0.0,0.5,47,14,29,55,233,14,8,37,1,311,0
122,540,440,520,480,540,480,520,520,520,520,0.46,0.64,0.58,0.5,0.6,0.5,0.0,0.58,0.32,0.59,11,14,24,38,105,22,1,24,19,126,0
123,540,420,460,420,460,540,440,440,460,440,0.67,0.44,0.4,0.0,0.0,0.46,0.64,0.57,0.68,1.0,3,16,88,1,1,11,14,63,25,2,0
124,520,520,480,520,520,460,520,560,520,480,0.53,0.48,0.0,0.71,0.58,0.67,0.67,0.49,0.57,0.57,187,93,1,28,26,3,58,348,54,30,0
125,540,520,520,520,540,540,520,520,520,520,0.65,0.86,0.67,0.5,0.62,0.58,0.5,0.2,0.0,0.4,23,14,3,10,52,87,2,10,2,5,0
126,540,520,520,520,520,520,0,520,460,520,0.42,0.86,0.5,0.4,1.0,0.5,0.6,0.56,0.58,0.53,12,14,2,5,2,4,5,183,33,38,0
127,520,520,460,560,520,520,520,520,520,560,0.55,0.62,0.48,0.71,0.68,0.2,0.86,0.47,0.4,0.56,104,98,40,21,41,15,14,38,5,18,0
128,520,520,480,520,520,540,520,520,520,520,0.0,0.33,0.43,0.5,0.6,0.46,0.33,0.56,0.67,0.75,2,12,7,60,48,35,9,16,30,12,0
129,520,520,520,520,480,520,520,0,480,480,0.5,0.47,0.64,0.25,0.67,0.6,0.5,0.0,0.54,0.0,2,163,11,4,12,47,8,2,127,2,1
