,rankings_blue_top,rankings_blue_jungle,rankings_blue_mid,rankings_blue_adc,rankings_blue_support,rankings_red_top,rankings_red_jungle,rankings_red_mid,rankings_red_adc,rankings_red_support,champ_winrate_blue_top,champ_winrate_blue_jungle,champ_winrate_blue_mid,champ_winrate_blue_adc,champ_winrate_blue_support,champ_winrate_red_top,champ_winrate_red_jungle,champ_winrate_red_mid,champ_winrate_red_adc,champ_winrate_red_support,champ_total_games_blue_top,champ_total_games_blue_jungle,champ_total_games_blue_mid,champ_total_games_blue_adc,champ_total_games_blue_support,champ_total_games_red_top,champ_total_games_red_jungle,champ_total_games_red_mid,champ_total_games_red_adc,champ_total_games_red_support,result
130,480,520,520,480,480,520,520,520,520,520,0.0,0.4,0.6,0.67,0.6,0.6,0.54,0.58,0.4,0.69,2,20,53,12,5,47,28,12,5,13,0
131,520,520,460,520,520,520,480,520,520,520,0.33,0.48,0.25,0.56,0.51,0.6,0.54,0.51,0.5,0.63,3,98,4,34,243,47,101,129,12,8,0
132,540,520,520,460,480,520,520,540,460,520,0.45,1.0,0.9,0.53,1.0,0.5,0.62,0.46,0.57,0.3,49,1,10,120,1,18,34,11,105,20,0
133,520,520,520,540,460,520,520,480,520,520,0.53,0.86,0.55,0.43,0.0,0.67,0.67,0.68,0.57,0.46,17,14,106,7,1,6,46,44,37,131,0
134,460,480,480,540,520,520,520,520,540,460,0.43,0.41,0.0,0.38,0.57,0.49,0.86,0.55,0.75,1.0,7,17,3,8,63,33,14,33,4,1,0
135,540,520,480,480,480,520,520,520,520,540,0.64,0.75,0.53,0.75,0.51,0.4,0.57,0.75,0.56,0.5,44,8,256,12,109,5,7,16,41,74,1
136,540,520,480,520,520,520,520,520,520,520,0.64,0.56,0.67,0.55,0.51,0.3,0.67,0.55,0.72,0.33,44,120,36,53,37,10,9,312,18,9,1
137,540,520,520,480,540,520,540,520,540,540,0.83,0.57,0.51,0.7,0.5,0.56,0.5,0.64,0.54,0.55,6,7,41,20,34,48,18,11,80,190,0
138,460,440,460,460,440,460,460,460,460,460,0.63,0.0,0.55,0.65,0.65,0.5,0.46,0.44,0.44,0.6,339,1,33,20,17,18,89,9,9,5,0
139,460,460,440,460,460,460,460,440,440,520,0.75,0.55,0.65,0.5,0.5,0.55,0.55,0.88,0.67,0.6,8,67,86,2,2,40,338,49,6,15,0
140,440,460,460,460,460,460,380,480,460,460,0.67,0.55,0.55,0.58,0.53,0.64,0.67,0.33,0.5,0.5,21,338,67,19,238,11,9,6,8,24,0
141,460,460,460,460,440,460,460,440,460,460,0.51,0.46,0.55,0.51,0.54,0.5,0.64,0.43,0.49,0.57,95,89,417,180,35,2,11,7,35,42,0
142,420,460,460,440,460,460,440,460,460,440,0.36,0.55,0.33,0.43,0.64,0.31,0.55,0.75,0.5,0.33,14,338,3,44,78,16,176,4,2,6,0
143,440,440,460,420,440,440,460,440,460,440,0.53,0.17,0.46,0.5,0.32,0.33,0.55,0.75,0.49,0.56,17,12,22,4,19,3,338,8,174,228,0
144,580,640,580,580,580,620,580,620,640,580,0.14,0.56,0.56,0.51,0.52,0.5,0.5,0.53,0.56,0.53,7,18,406,74,31,2,4,178,16,45,0
145,620,580,640,640,560,620,620,580,560,580,0.5,0.67,0.5,0.55,0.5,0.56,0.39,0.59,0.33,0.47,108,3,8,55,34,84,13,61,3,17,0
146,580,580,580,560,580,560,620,620,580,580,0.54,0.5,0.61,0.6,1.0,0.5,0.0,0.56,0.58,0.43,220,4,31,15,4,8,4,25,40,7,0
147,620,580,560,620,560,620,620,580,580,620,0.0,0.6,0.55,0.39,0.69,0.47,0.59,0.51,0.52,0.56,3,286,40,70,16,15,82,69,21,59,0
148,580,580,580,580,580,580,620,620,580,580,0.58,0.64,0.54,0.54,0.36,1.0,0.67,0.67,0.47,0.61,191,215,28,37,14,1,6,3,105,54,0
149,580,580,620,620,620,620,620,640,580,620,0.73,0.59,0.75,0.67,0.5,0.46,0.53,0.65,0.54,0.55,56,66,4,127,30,11,856,26,37,311,1
150,620,580,620,580,620,620,620,580,580,640,0.5,0.65,0.33,0.54,0.53,0.62,0.44,0.65,0.0,0.63,40,17,3,37,139,52,9,109,1,92,0
151,580,620,580,580,620,580,620,580,620,580,0.4,0.5,0.57,1.0,0.47,0.52,0.43,0.5,0.58,0.0,5,8,126,2,19,128,7,2,76,3,0
152,620,560,560,580,580,580,580,580,560,560,0.65,0.72,0.25,0.54,0.58,0.52,0.49,0.55,0.75,0.63,52,25,8,37,62,128,219,637,8,51,0
153,460,460,620,580,580,560,560,580,580,580,0.6,0.0,0.49,0.33,0.57,0.59,0.65,1.0,0.58,0.57,5,1,75,6,7,17,31,7,12,89,0
154,580,580,580,580,640,580,640,620,580,620,1.0,0.65,0.5,0.47,0.63,0.33,0.41,0.54,0.0,0.61,5,37,4,38,48,3,73,241,2,183,1
155,580,580,580,560,580,580,580,560,580,620,0.5,0.0,0.25,0.46,0.53,0.75,1.0,0.51,0.53,0.51,16,1,16,13,89,12,3,299,34,172,0
156,580,560,560,540,620,620,580,580,580,560,0.6,0.6,0.53,0.38,0.58,0.38,0.59,0.51,0.54,0.58,5,50,79,42,26,8,106,299,37,154,0
157,560,560,560,580,580,620,580,560,580,580,1.0,0.56,0.75,0.54,0.52,0.0,0.64,0.59,0.5,0.25,1,9,4,37,103,3,77,41,2,4,0
158,580,560,560,560,580,580,580,560,580,580,0.43,0.67,0.56,1.0,0.6,0.57,0.0,0.0,0.38,0.56,7,3,64,3,326,7,1,4,21,18,1
159,560,580,580,580,560,560,580,580,580,580,0.53,0.71,0.6,0.37,0.5,0.5,0.46,0.53,1.0,0.55,531,44,114,19,18,26,56,219,2,200,0
160,580,580,580,620,580,620,640,580,580,620,0.63,0.4,0.62,0.65,0.38,0.56,0.48,0.5,0.56,0.6,139,15,37,17,16,144,257,2,25,109,0
161,580,560,620,620,580,560,580,560,560,560,0.58,0.57,0.55,0.56,0.64,0.57,0.4,0.67,0.56,0.56,201,293,290,59,11,319,15,43,25,72,1
162,560,580,560,0,540,580,560,580,540,560,0.5,0.54,0.47,0.0,0.18,0.52,0.64,0.63,0.83,0.5,20,39,49,2,11,42,11,27,6,6,0
163,560,580,580,540,560,580,0,560,580,620,0.25,0.54,0.67,0.5,0.59,0.0,0.41,0.56,0.82,0.6,8,79,3,4,22,1,17,27,11,5,0
164,620,580,580,620,560,580,580,580,580,640,0.53,0.4,0.9,0.53,0.0,0.25,0.63,1.0,0.62,0.51,139,15,10,107,1,4,19,1,13,165,0
165,580,580,620,620,580,560,580,580,560,580,0.56,0.46,0.53,0.53,0.5,0.64,0.4,0.6,0.4,0.61,345,13,19,107,6,63,15,5,15,36,1
166,620,580,580,580,620,580,620,580,640,580,0.41,0.54,0.8,0.47,0.58,0.53,0.54,0.5,0.44,0.57,22,79,5,19,12,1137,13,8,36,14,0
167,580,620,580,620,580,560,580,620,640,580,0.3,0.64,0.2,0.57,0.5,0.0,0.4,0.0,0.48,0.54,10,78,5,62,4,1,15,1,214,365,1
168,560,620,560,560,580,620,580,640,580,620,0.61,0.0,0.51,0.4,0.8,0.61,0.4,0.54,0.61,0.52,117,1,43,5,5,84,15,41,148,23,0
169,560,560,560,560,560,580,560,540,540,560,0.22,0.0,0.55,0.71,0.39,0.62,0.4,0.48,0.47,0.58,9,3,65,14,13,21,15,46,38,19,0
170,540,540,540,420,540,540,560,0,540,560,0.33,0.46,0.51,0.57,0.6,0.56,0.4,1.0,0.31,0.52,3,66,168,7,10,73,15,4,16,365,0
171,580,560,540,560,560,580,560,580,580,560,0.25,0.0,0.58,0.42,0.53,0.48,0.58,0.56,0.56,0.0,4,1,50,31,68,29,388,9,298,2,0
172,460,460,460,440,460,460,460,460,480,520,0.61,0.88,0.19,0.63,0.56,0.0,0.55,0.42,0.4,0.67,110,8,16,8,34,2,22,12,5,3,1
173,460,480,460,480,460,520,460,480,480,520,0.38,0.57,0.39,0.56,0.57,0.62,0.52,0.58,0.53,0.5,16,124,18,72,108,143,42,142,318,8,0
174,480,460,420,460,460,460,460,480,460,440,0.61,0.5,0.74,0.58,0.48,0.5,0.17,0.53,0.25,0.33,82,10,34,12,87,8,12,30,4,3,1
175,460,460,460,460,520,460,520,480,460,460,0.53,0.33,0.5,0.29,0.52,0.56,0.17,0.58,0.44,0.6,36,12,2,7,63,151,6,12,34,5,0
176,480,460,420,520,480,440,460,520,480,460,0.59,0.53,0.43,0.62,0.48,0.0,0.52,0.0,0.0,0.62,22,15,14,29,40,1,21,2,1,140,1
177,460,460,460,480,460,480,480,460,460,480,0.5,0.5,0.52,0.5,0.0,0.47,0.5,0.71,0.75,0.55,6,8,29,64,3,36,2,7,8,240,0
178,460,440,440,460,460,460,460,460,440,440,0.36,0.51,0.49,0.4,0.67,0.33,0.66,0.57,0.8,1.0,14,63,115,5,18,12,74,7,10,4,0
179,460,460,440,460,440,480,460,460,460,460,0.46,0.51,0.5,0.29,0.3,0.56,0.67,0.52,0.82,0.53,55,109,8,17,10,142,24,29,11,81,0
180,420,460,480,460,460,460,460,460,460,480,0.71,0.75,0.62,0.8,0.62,0.65,0.65,0.52,0.33,0.0,17,8,26,5,140,149,26,77,6,1,0
181,440,440,460,460,460,420,420,420,480,440,0.55,0.67,0.54,0.25,0.64,0.4,0.55,0.0,0.4,0.0,11,9,166,4,22,10,11,2,20,2,0
182,440,420,460,460,460,480,420,520,460,460,0.67,0.6,0.52,0.33,0.62,0.7,0.22,0.63,0.56,0.71,15,5,29,15,142,20,9,91,77,17,0
183,440,440,460,480,460,440,420,380,460,420,0.4,0.56,0.14,0.25,0.75,1.0,0.6,0.65,0.59,0.75,5,27,7,4,4,1,10,26,17,4,0
184,460,460,460,460,460,460,440,460,460,460,1.0,0.66,0.52,0.5,0.55,0.49,0.48,0.71,0.8,0.54,1,89,29,14,64,220,25,7,5,37,0
185,460,420,540,460,440,460,460,460,0,420,0.49,0.64,1.0,0.72,0.57,0.5,0.38,0.55,0.6,0.31,74,11,2,25,108,6,8,42,5,16,1
186,420,520,420,480,440,420,440,460,440,460,0.64,0.44,0.2,0.42,0.43,0.29,0.57,0.52,0.63,0.61,11,41,5,41,49,7,47,21,19,183,1
187,520,480,520,520,460,520,460,480,520,480,0.14,0.58,0.46,0.53,0.63,0.83,0.52,0.82,0.4,0.63,7,52,24,45,30,12,21,11,25,8,0
188,480,420,460,520,480,480,460,460,460,460,0.68,0.55,0.67,0.54,1.0,0.2,0.63,0.52,0.5,0.63,28,38,6,13,1,5,16,29,2,8,1
189,420,420,440,440,440,420,440,460,420,440,0.29,0.64,0.52,0.55,0.35,0.61,0.48,0.52,0.44,0.67,7,33,58,11,23,61,21,29,23,3,0
190,420,440,440,460,480,440,420,460,460,460,0.6,0.57,0.0,0.55,0.57,1.0,0.7,0.55,0.75,0.6,15,166,1,69,42,3,10,42,8,10,0
191,480,460,460,420,460,520,460,440,460,460,0.57,0.64,0.0,0.41,0.48,0.4,0.53,0.52,0.5,0.7,21,36,1,29,54,52,17,148,14,20,0
192,460,460,440,460,440,440,460,460,460,460,0.38,0.78,0.5,0.67,0.67,0.56,0.44,0.43,0.83,0.49,8,9,6,3,9,207,25,7,6,185,0
193,440,440,440,440,440,440,460,460,380,480,0.57,0.59,0.57,0.52,0.62,0.6,0.55,0.52,0.55,0.57,7,39,317,58,89,73,11,29,11,150,0
194,440,460,440,440,480,460,440,480,520,420,0.52,0.33,0.52,0.54,1.0,0.44,0.61,0.5,0.29,0.5,50,9,29,136,8,9,33,32,14,4,0
195,580,640,640,620,680,680,660,680,640,620,0.47,0.7,0.33,1.0,0.62,0.55,0.0,0.36,0.38,0.5,15,37,12,1,13,31,2,14,16,4,1
196,680,640,680,680,660,640,700,660,700,660,0.55,0.75,0.17,0.43,0.33,0.57,0.53,0.54,0.68,0.51,31,4,6,7,3,126,34,218,106,135,0
197,680,660,660,680,660,660,680,680,680,680,0.59,0.5,0.42,0.56,0.39,0.58,0.67,0.71,0.57,0.5,81,8,53,166,18,430,54,7,23,20,0
198,660,680,580,660,580,680,660,680,680,660,0.58,0.59,0.22,0.57,0.5,0.56,0.5,0.55,0.57,0.5,430,17,9,107,2,32,8,126,23,26,0
199,660,520,680,580,580,660,660,680,680,680,0.29,0.67,0.48,0.33,0.0,0.5,0.6,0.59,0.71,0.55,7,3,88,18,1,101,264,27,14,130,0
200,680,580,680,660,640,660,660,660,680,620,0.59,0.5,0.52,0.63,0.77,0.57,0.5,0.57,0.68,0.89,81,2,448,30,34,75,8,21,68,9,0
201,680,580,560,660,680,660,680,680,620,580,0.55,0.5,0.83,0.65,0.53,0.33,0.67,0.25,0.17,0.67,126,2,6,46,346,3,3,8,6,3,0
202,680,680,660,580,580,580,580,640,660,620,0.59,0.86,0.53,0.67,0.46,0.67,0.33,0.65,0.7,0.0,81,7,17,48,13,3,3,77,10,4,0
203,660,700,700,680,680,680,680,680,660,700,0.67,0.46,0.67,0.61,0.49,0.35,0.46,0.55,0.7,0.48,9,24,12,217,51,34,44,168,27,50,1
204,680,660,660,680,680,660,660,680,680,660,0.33,0.56,0.54,0.74,0.55,1.0,0.56,0.62,0.61,0.63,6,91,433,39,603,1,210,69,217,16,0
205,680,580,680,580,660,660,680,680,640,680,0.33,0.0,0.0,0.67,0.67,0.6,0.58,0.59,0.57,0.5,6,1,1,3,3,10,24,81,14,2,0
206,680,660,680,660,660,680,680,680,680,680,0.43,0.33,0.33,0.57,0.52,0.62,0.62,0.53,0.67,0.41,7,3,6,23,50,81,79,120,3,87,0
207,680,680,660,580,680,680,680,660,680,680,0.66,0.58,0.6,0.55,0.67,0.59,0.56,0.57,0.5,0.57,203,536,15,66,45,81,43,14,12,392,1
208,680,680,700,800,700,680,580,680,700,580,0.55,0.33,0.43,0.7,0.64,0.56,0.81,0.56,0.55,0.7,126,3,7,30,42,25,32,360,69,10,0
209,580,680,700,680,660,680,660,680,800,640,0.67,0.52,0.57,0.5,0.5,0.59,1.0,0.56,0.6,0.63,12,178,99,38,4,81,6,360,5,8,0
210,660,620,620,620,660,680,680,680,680,700,0.0,0.68,0.77,0.57,0.72,0.59,0.75,0.41,0.53,0.55,1,31,172,14,29,81,8,34,114,101,0
211,620,620,580,580,580,680,640,580,640,580,0.78,0.42,0.59,0.57,0.5,0.55,0.57,0.67,0.59,0.63,9,31,39,83,8,31,14,57,171,27,0
212,660,660,660,640,660,680,680,620,660,660,0.5,0.61,0.64,0.5,0.72,0.5,0.57,0.3,0.52,0.57,101,33,11,2,29,14,165,10,110,122,1
213,680,680,660,680,660,660,680,680,660,660,0.59,0.53,0.64,0.54,0.65,0.42,0.54,0.58,0.33,0.67,81,151,11,139,43,24,56,177,12,6,0
214,700,660,660,640,680,660,680,660,660,640,0.62,0.62,0.54,0.5,0.58,0.59,0.54,0.54,0.54,0.61,109,42,46,6,439,81,78,218,83,41,0
215,660,660,660,620,640,640,700,680,660,660,0.59,0.58,0.47,0.46,0.61,0.25,0.57,0.64,0.27,0.0,81,1037,71,11,41,4,23,116,11,1,0
216,660,660,660,660,620,660,660,660,660,660,0.54,0.52,0.57,0.61,0.67,0.61,0.5,0.59,0.65,0.59,109,91,7,197,6,28,22,177,100,341,0
217,660,620,660,660,620,580,660,660,640,660,0.52,1.0,0.5,0.63,0.65,0.54,0.54,0.4,0.75,0.56,27,1,18,8,43,233,260,15,8,9,0
218,660,640,620,660,620,620,620,560,580,580,0.61,0.31,0.65,0.67,0.59,0.56,0.59,0.33,0.0,0.0,28,13,77,12,254,925,22,6,1,3,0
219,660,660,660,640,640,660,660,660,640,680,0.48,0.56,0.44,0.62,0.54,0.55,0.67,0.5,0.59,0.54,84,25,16,21,452,126,3,2,81,133,0
220,660,660,640,640,640,640,640,680,660,660,0.62,0.65,0.77,0.59,0.5,0.55,0.56,0.0,0.36,0.25,81,173,31,81,24,40,185,3,11,4,0
221,640,620,660,640,580,660,660,660,640,660,0.59,0.71,0.44,0.62,0.55,0.67,0.47,0.55,0.56,0.0,81,24,16,21,60,6,17,401,402,1,0
222,640,640,660,660,640,660,640,680,660,640,0.59,0.56,0.4,0.46,0.6,0.55,0.55,0.63,0.0,0.36,81,80,15,11,5,532,31,19,1,11,0
223,460,460,460,460,460,480,460,520,480,460,0.52,0.38,0.48,0.54,0.64,0.53,0.6,0.0,0.22,0.6,27,42,94,265,11,307,166,1,9,93,1
224,480,460,380,460,460,420,460,540,460,460,0.6,0.56,0.79,0.45,0.63,0.5,0.25,0.58,0.55,0.57,82,16,33,86,8,6,4,113,496,7,0
225,460,460,460,440,460,460,460,460,460,460,0.5,0.74,0.14,0.59,0.6,1.0,0.53,0.47,0.56,0.63,8,31,7,29,93,3,45,34,188,112,0
226,420,420,440,460,460,440,440,420,380,440,0.71,0.2,0.0,0.56,0.6,0.65,0.8,0.25,0.6,0.6,7,5,1,9,93,37,5,4,5,20,0
227,440,460,460,380,460,440,440,460,460,420,0.56,0.46,0.75,0.56,0.6,0.49,0.6,0.4,0.5,0.53,25,22,4,9,93,39,65,5,2,19,0
228,440,440,480,460,440,460,480,460,420,520,0.0,0.5,0.61,0.25,0.0,0.55,0.4,0.74,0.63,0.69,2,2,175,4,2,29,5,19,8,35,0
229,440,420,440,480,420,460,420,520,420,520,0.6,0.25,0.67,0.73,0.0,1.0,0.5,1.0,0.67,0.55,67,4,87,37,1,1,22,1,6,62,0
230,460,480,420,420,520,360,460,480,440,440,0.29,0.8,0.22,0.67,0.55,0.33,0.49,0.56,0.58,0.0,7,5,9,6,62,6,33,71,62,2,0
231,480,460,440,420,520,460,460,420,460,520,0.53,0.33,0.52,0.4,0.55,0.71,0.44,0.6,0.44,0.5,36,3,33,5,62,17,16,5,9,2,0
232,420,420,440,420,520,420,520,440,440,480,0.5,1.0,0.9,0.4,0.54,0.64,0.4,0.55,0.5,0.52,8,2,10,5,26,14,5,22,129,71,0
233,460,380,480,420,520,460,460,460,420,460,0.52,0.5,0.51,0.63,0.55,0.69,0.5,0.57,0.79,0.56,164,54,55,8,62,51,2,94,14,326,0
234,460,420,440,460,460,440,460,460,420,520,0.6,0.71,0.29,0.48,0.45,0.69,0.47,0.47,0.69,0.67,35,7,7,331,67,16,15,70,16,129,1
235,420,480,440,420,520,460,440,460,520,440,0.67,0.59,0.51,0.4,0.67,0.67,0.5,0.52,0.56,0.57,24,66,148,5,129,3,8,161,232,14,0
236,460,480,440,420,520,420,420,460,460,460,0.66,0.86,1.0,0.69,0.67,0.0,0.6,0.52,0.5,0.0,35,14,1,16,129,1,5,27,4,1,0
237,460,420,440,480,420,440,440,460,420,480,0.56,0.57,0.33,0.69,1.0,0.3,0.71,0.64,0.69,0.55,226,42,3,13,2,10,28,11,16,62,1
238,440,440,420,420,480,440,480,480,460,380,0.67,0.59,0.66,0.69,0.69,0.5,0.81,0.33,0.48,0.58,6,22,125,16,35,16,16,15,23,26,0
239,480,460,380,380,480,460,420,420,460,460,0.58,0.63,0.71,0.69,0.67,0.68,0.44,0.64,0.25,0.29,43,30,7,16,129,28,16,14,4,7,0
240,420,440,460,440,460,440,420,380,380,480,0.29,0.67,0.68,0.69,0.42,0.65,1.0,0.83,0.69,0.67,7,12,28,16,12,91,3,6,16,129,0
241,440,420,460,380,480,440,440,480,460,420,0.59,0.71,1.0,0.69,0.67,0.51,0.53,0.6,0.56,0.52,69,14,3,16,129,61,47,147,257,116,0
242,380,480,440,380,480,440,440,440,460,440,0.67,0.64,0.6,0.5,0.67,0.5,0.52,0.53,0.5,0.33,42,25,5,2,129,12,50,45,16,3,0
243,380,460,440,460,380,520,420,460,420,480,1.0,0.67,0.33,0.39,1.0,0.5,0.55,0.65,0.67,0.55,1,3,9,28,1,8,77,17,6,62,1
244,420,460,440,380,480,440,480,380,420,380,0.93,0.8,0.55,0.69,0.55,0.5,0.5,0.56,0.52,0.5,15,20,69,16,62,16,8,158,29,4,0
245,440,440,380,420,380,440,420,420,380,480,0.65,0.6,0.71,0.5,0.33,0.5,0.8,0.33,0.67,0.55,31,10,7,10,3,52,5,3,6,62,0
246,520,440,420,420,480,420,440,460,460,460,0.65,0.4,0.5,0.63,0.69,0.73,0.46,0.69,0.55,0.67,17,5,2,8,35,11,11,29,22,24,0
247,340,480,440,380,480,420,460,440,440,420,0.59,0.6,0.46,0.33,0.69,0.5,0.8,0.0,0.45,0.6,27,10,11,3,35,30,5,1,20,10,0
248,460,520,420,440,440,440,460,460,420,460,0.33,0.49,0.25,0.67,0.39,0.3,1.0,0.61,0.67,1.0,6,142,4,9,26,10,1,69,3,1,0
249,480,440,460,520,460,460,460,520,460,480,0.55,0.44,0.0,0.75,0.33,0.53,0.5,0.75,0.68,0.5,191,9,1,4,3,395,8,8,57,2,0
250,480,440,420,460,460,460,440,460,460,460,1.0,0.57,0.5,0.55,0.62,0.43,0.51,0.63,0.47,0.69,1,90,6,74,13,7,63,16,15,13,1
251,440,440,420,440,440,440,440,440,440,420,0.33,0.51,0.53,0.67,0.8,0.0,0.0,0.43,0.63,0.2,6,63,32,6,10,1,4,49,8,10,0
252,440,440,420,440,440,380,380,440,440,420,0.55,0.51,0.63,0.75,0.46,0.0,0.71,0.48,0.5,0.0,49,63,19,4,22,1,7,85,2,1,0
253,420,440,440,420,440,520,440,460,420,380,0.0,0.51,0.5,0.2,0.67,0.53,0.65,0.43,0.42,0.55,2,63,2,15,3,47,34,7,64,64,0
254,440,440,420,420,380,440,440,440,420,440,0.57,0.0,0.3,0.5,0.44,0.65,0.51,0.6,0.5,0.67,128,5,10,4,34,31,63,15,4,9,0
255,440,440,440,420,440,420,440,440,440,440,0.71,0.51,0.8,0.42,0.51,0.51,0.5,0.51,0.3,0.65,14,63,10,69,79,250,26,202,10,23,0
256,440,440,440,420,440,420,440,440,440,420,0.67,0.51,0.33,0.2,0.54,0.0,0.2,0.6,0.54,0.42,39,63,9,15,127,1,5,15,244,41,0
257,420,420,420,420,420,420,440,380,420,420,0.53,0.67,0.53,0.4,0.5,0.57,0.51,0.67,0.6,0.67,59,9,179,5,8,7,63,3,5,57,0
258,360,420,320,360,380,320,360,380,360,360,0.56,0.51,1.0,0.6,0.53,0.56,0.0,0.54,0.5,0.5,142,63,1,5,285,39,2,194,137,2,0
259,320,420,320,320,360,340,360,360,340,360,0.5,0.51,0.55,1.0,0.62,0.43,0.5,0.49,0.49,0.49,2,63,55,3,34,14,4,97,78,39,0
260,340,440,320,380,380,360,440,340,380,320,1.0,0.51,0.5,0.5,0.55,0.0,0.52,0.58,0.5,0.36,8,63,8,6,33,1,21,78,2,36,0
261,440,420,380,420,440,440,420,420,420,380,0.4,1.0,0.8,0.59,0.55,0.5,0.51,0.44,0.61,0.57,10,2,10,90,58,8,63,16,18,49,1
